date,age_range,sex,cases,hospitalized,icu,deaths
2020-03-23,0-9,both,129,34,1,0
2020-03-23,10-19,both,221,15,0,1
2020-03-23,20-29,both,1285,183,8,4
2020-03-23,30-39,both,2208,365,15,3
2020-03-23,40-49,both,2919,663,40,9
2020-03-23,50-59,both,3129,936,89,20
2020-03-23,60-69,both,2916,1230,132,63
2020-03-23,70-79,both,3132,1678,165,164
2020-03-23,80 y +,both,3020,1710,34,541
2020-03-23,Total,both,18959,6814,484,805
2020-03-23,0-9,female,64,15,0,0
2020-03-23,10-19,female,123,10,0,1
2020-03-23,20-29,female,724,78,4,1
2020-03-23,30-39,female,1258,192,7,1
2020-03-23,40-49,female,1487,262,10,3
2020-03-23,50-59,female,1603,377,26,7
2020-03-23,60-69,female,1338,528,49,15
2020-03-23,70-79,female,1237,607,39,42
2020-03-23,80 y +,female,1348,726,16,217
2020-03-23,Total,female,9182,2795,151,287
2020-03-23,0-9,males,65,19,1,0
2020-03-23,10-19,males,98,6,0,0
2020-03-23,20-29,males,559,104,4,3
2020-03-23,30-39,males,949,187,8,2
2020-03-23,40-49,males,1428,414,30,6
2020-03-23,50-59,males,1520,583,66,13
2020-03-23,60-69,males,1557,738,90,48
2020-03-23,70-79,males,1894,1110,129,122
2020-03-23,80 y +,males,1666,1006,21,324
2020-03-23,Total,males,9736,4167,349,518
2020-03-24,0-9,both,130,35,1,0
2020-03-24,10-19,both,226,20,1,1
2020-03-24,20-29,both,1352,200,10,4
2020-03-24,30-39,both,2386,431,18,5
2020-03-24,40-49,both,3190,778,45,9
2020-03-24,50-59,both,3433,1074,106,22
2020-03-24,60-69,both,3179,1432,162,74
2020-03-24,70-79,both,3304,1858,192,184
2020-03-24,80-89,both,2545,1470,34,403
2020-03-24,90 y +,both,726,401,4,169
2020-03-24,Total,both,20471,7699,573,871
2020-03-24,0-9,female,65,15,0,0
2020-03-24,10-19,female,130,13,1,1
2020-03-24,20-29,female,751,87,5,1
2020-03-24,30-39,female,1352,213,7,3
2020-03-24,40-49,female,1645,298,11,3
2020-03-24,50-59,female,1766,415,31,8
2020-03-24,60-69,female,1465,602,53,18
2020-03-24,70-79,female,1294,665,44,47
2020-03-24,80-89,female,1092,600,16,150
2020-03-24,90 y +,female,406,201,0,84
2020-03-24,Total,female,9966,3109,168,315
2020-03-24,0-9,males,65,20,1,0
2020-03-24,10-19,males,96,7,0,0
2020-03-24,20-29,males,599,111,5,3
2020-03-24,30-39,males,1034,218,11,2
2020-03-24,40-49,males,1541,477,34,6
2020-03-24,50-59,males,1664,658,74,14
2020-03-24,60-69,males,1711,829,109,56
2020-03-24,70-79,males,2010,1193,148,137
2020-03-24,80-89,males,1453,870,18,253
2020-03-24,90 y +,males,320,200,4,85
2020-03-24,Total,males,9736,4167,349,518
2020-03-25,0-9,both,134,40,1,0
2020-03-25,10-19,both,230,22,2,1
2020-03-25,20-29,both,1422,217,12,4
2020-03-25,30-39,both,2511,448,23,5
2020-03-25,40-49,both,3383,840,59,10
2020-03-25,50-59,both,3698,1170,133,22
2020-03-25,60-69,both,3403,1551,215,79
2020-03-25,70-79,both,3555,2049,248,191
2020-03-25,80-89,both,2736,1590,70,428
2020-03-25,90 y +,both,800,434,19,178
2020-03-25,Total,both,21872,8361,782,918
2020-03-25,0-9,female,67,16,0,0
2020-03-25,10-19,female,133,16,1,1
2020-03-25,20-29,female,803,99,5,1
2020-03-25,30-39,female,1424,223,7,3
2020-03-25,40-49,female,1759,320,12,3
2020-03-25,50-59,female,1910,457,31,7
2020-03-25,60-69,female,1561,652,54,20
2020-03-25,70-79,female,1395,745,48,48
2020-03-25,80-89,female,1176,655,17,159
2020-03-25,90 y +,female,448,222,0,89
2020-03-25,Total,female,10676,3405,175,331
2020-03-25,0-9,males,66,24,1,0
2020-03-25,10-19,males,94,6,0,0
2020-03-25,20-29,males,617,116,5,3
2020-03-25,30-39,males,1086,226,11,2
2020-03-25,40-49,males,1618,519,36,7
2020-03-25,50-59,males,1785,715,81,15
2020-03-25,60-69,males,1839,913,119,59
2020-03-25,70-79,males,2158,1313,161,143
2020-03-25,80-89,males,1560,945,19,269
2020-03-25,90 y +,males,352,219,4,89
2020-03-25,Total,males,11175,4996,437,587
2020-03-26,0-9,both,175,44,1,0
2020-03-26,10-19,both,302,30,1,1
2020-03-26,20-29,both,1932,282,15,4
2020-03-26,30-39,both,3454,631,39,7
2020-03-26,40-49,both,5045,1273,94,19
2020-03-26,50-59,both,5749,1922,187,35
2020-03-26,60-69,both,5397,2634,333,114
2020-03-26,70-79,both,5377,3378,404,303
2020-03-26,80-89,both,4080,2527,52,594
2020-03-26,90 y +,both,1305,704,5,249
2020-03-26,Total,both,32816,13425,1131,1326
2020-03-26,0-9,female,80,19,0,0
2020-03-26,10-19,female,167,21,1,1
2020-03-26,20-29,female,1139,144,7,0
2020-03-26,30-39,female,1967,294,13,4
2020-03-26,40-49,female,2690,528,30,10
2020-03-26,50-59,female,3032,775,53,7
2020-03-26,60-69,female,2516,1087,100,41
2020-03-26,70-79,female,2152,1224,97,84
2020-03-26,80-89,female,1843,1045,22,230
2020-03-26,90 y +,female,777,375,0,121
2020-03-26,Total,female,16363,5512,323,498
2020-03-26,0-9,males,95,26,1,0
2020-03-26,10-19,males,135,12,0,0
2020-03-26,20-29,males,790,155,8,4
2020-03-26,30-39,males,1487,347,26,3
2020-03-26,40-49,males,2355,765,64,9
2020-03-26,50-59,males,2715,1160,133,28
2020-03-26,60-69,males,2879,1546,233,73
2020-03-26,70-79,males,3223,2139,307,219
2020-03-26,80-89,males,2237,1473,30,364
2020-03-26,90 y +,males,528,324,5,128
2020-03-26,Total,males,16444,7947,807,828
2020-03-27,0-9,both,181,46,1,0
2020-03-27,10-19,both,312,36,1,1
2020-03-27,20-29,both,2011,295,16,4
2020-03-27,30-39,both,3575,655,41,7
2020-03-27,40-49,both,5242,1348,99,19
2020-03-27,50-59,both,6030,2044,205,35
2020-03-27,60-69,both,5633,2784,360,119
2020-03-27,70-79,both,5620,3575,454,319
2020-03-27,80-89,both,4267,2654,55,608
2020-03-27,90 y +,both,1378,735,5,255
2020-03-27,Total,both,34249,14172,1237,1367
2020-03-27,0-9,female,82,19,0,0
2020-03-27,10-19,female,170,20,1,1
2020-03-27,20-29,female,1186,132,7,0
2020-03-27,30-39,female,2037,293,13,4
2020-03-27,40-49,female,2798,533,30,10
2020-03-27,50-59,female,3178,808,63,7
2020-03-27,60-69,female,2636,1157,103,44
2020-03-27,70-79,female,2258,1328,113,89
2020-03-27,80-89,female,1949,1114,23,239
2020-03-27,90 y +,female,830,401,0,123
2020-03-27,Total,female,17124,5805,353,517
2020-03-27,0-9,males,99,27,1,0
2020-03-27,10-19,males,142,16,0,0
2020-03-27,20-29,males,822,161,9,4
2020-03-27,30-39,males,1538,362,28,3
2020-03-27,40-49,males,2444,815,69,9
2020-03-27,50-59,males,2850,1235,141,28
2020-03-27,60-69,males,2995,1627,257,75
2020-03-27,70-79,males,3360,2245,341,230
2020-03-27,80-89,males,2318,1540,32,369
2020-03-27,90 y +,males,548,334,5,132
2020-03-27,Total,males,17116,8362,883,850
2020-03-28,0-9,both,186,49,1,0
2020-03-28,10-19,both,317,35,1,1
2020-03-28,20-29,both,2088,310,18,4
2020-03-28,30-39,both,3774,697,41,7
2020-03-28,40-49,both,5551,1460,108,19
2020-03-28,50-59,both,6424,2201,227,37
2020-03-28,60-69,both,5980,2999,392,123
2020-03-28,70-79,both,5923,3790,490,343
2020-03-28,80-89,both,4497,2791,56,642
2020-03-28,90 y +,both,1465,766,5,266
2020-03-28,Total,both,36205,15098,1339,1442
2020-03-28,0-9,female,83,19,0,0
2020-03-28,10-19,female,174,20,1,1
2020-03-28,20-29,female,1228,140,8,0
2020-03-28,30-39,female,2148,314,13,4
2020-03-28,40-49,female,2973,580,32,10
2020-03-28,50-59,female,3368,869,67,8
2020-03-28,60-69,female,2790,1238,110,45
2020-03-28,70-79,female,2396,1416,125,95
2020-03-28,80-89,female,2076,1181,23,258
2020-03-28,90 y +,female,891,416,0,129
2020-03-28,Total,female,18127,6193,379,550
2020-03-28,0-9,males,103,30,1,0
2020-03-28,10-19,males,143,15,0,0
2020-03-28,20-29,males,857,168,10,4
2020-03-28,30-39,males,1626,383,28,3
2020-03-28,40-49,males,2578,880,76,9
2020-03-28,50-59,males,3054,1331,159,29
2020-03-28,60-69,males,3187,1760,282,78
2020-03-28,70-79,males,3527,2372,365,248
2020-03-28,80-89,males,2421,1610,33,384
2020-03-28,90 y +,males,574,350,5,137
2020-03-28,Total,males,18070,8899,959,892
2020-03-29,0-9,both,207,65,3,0
2020-03-29,10-19,both,360,47,2,1
2020-03-29,20-29,both,2802,444,22,6
2020-03-29,30-39,both,5168,1070,60,10
2020-03-29,40-49,both,7731,2204,134,35
2020-03-29,50-59,both,9135,3350,286,74
2020-03-29,60-69,both,8495,4459,519,225
2020-03-29,70-79,both,8416,5729,597,749
2020-03-29,80-89,both,6117,4054,62,1195
2020-03-29,90 y +,both,1804,1014,3,438
2020-03-29,Total,both,50235,22436,1688,2733
2020-03-29,0-9,female,96,26,1,0
2020-03-29,10-19,female,195,25,1,1
2020-03-29,20-29,female,1693,218,9,0
2020-03-29,30-39,female,2957,486,18,5
2020-03-29,40-49,female,4143,886,38,16
2020-03-29,50-59,female,4751,1293,83,18
2020-03-29,60-69,female,3903,1804,146,75
2020-03-29,70-79,female,3422,2176,155,213
2020-03-29,80-89,female,2820,1699,24,467
2020-03-29,90 y +,female,1074,544,0,215
2020-03-29,Total,female,25054,9157,475,1010
2020-03-29,0-9,males,110,39,2,0
2020-03-29,10-19,males,162,22,1,0
2020-03-29,20-29,males,1106,224,13,6
2020-03-29,30-39,males,2210,584,42,5
2020-03-29,40-49,males,3586,1317,96,19
2020-03-29,50-59,males,4382,2056,202,55
2020-03-29,60-69,males,4589,2654,373,150
2020-03-29,70-79,males,4994,3551,442,541
2020-03-29,80-89,males,3297,2355,38,720
2020-03-29,90 y +,males,730,470,3,218
2020-03-29,Total,males,25166,13272,1212,1714
2020-03-30,0-9,both,212,65,3,0
2020-03-30,10-19,both,368,49,2,1
2020-03-30,20-29,both,2883,451,22,6
2020-03-30,30-39,both,5351,1099,65,10
2020-03-30,40-49,both,7965,2252,146,36
2020-03-30,50-59,both,9390,3431,295,78
2020-03-30,60-69,both,8744,4609,555,232
2020-03-30,70-79,both,8625,5869,620,759
2020-03-30,80-89,both,6255,4137,68,1216
2020-03-30,90 y +,both,1833,1026,3,446
2020-03-30,Total,both,51626,22988,1779,2784
2020-03-30,0-9,female,98,26,1,0
2020-03-30,10-19,female,197,26,1,1
2020-03-30,20-29,female,1749,221,9,0
2020-03-30,30-39,female,3069,503,21,5
2020-03-30,40-49,female,4265,903,44,16
2020-03-30,50-59,female,4897,1330,87,19
2020-03-30,60-69,female,4014,1863,157,78
2020-03-30,70-79,female,3519,2232,160,209
2020-03-30,80-89,female,2892,1738,28,475
2020-03-30,90 y +,female,1096,551,0,221
2020-03-30,Total,female,25796,9393,508,1024
2020-03-30,0-9,males,113,39,2,0
2020-03-30,10-19,males,168,23,1,0
2020-03-30,20-29,males,1130,228,13,6
2020-03-30,30-39,males,2281,596,44,5
2020-03-30,40-49,males,3696,1346,101,20
2020-03-30,50-59,males,4490,2100,207,59
2020-03-30,60-69,males,4727,2745,398,154
2020-03-30,70-79,males,5105,3634,460,550
2020-03-30,80-89,males,3362,2398,40,740
2020-03-30,90 y +,males,737,475,3,225
2020-03-30,Total,males,25809,13584,1269,1759
2020-03-31,0-9,both,234,74,4,1
2020-03-31,10-19,both,393,53,2,1
2020-03-31,20-29,both,3016,474,22,6
2020-03-31,30-39,both,5656,1163,66,13
2020-03-31,40-49,both,8493,2442,149,43
2020-03-31,50-59,both,10108,3744,303,99
2020-03-31,60-69,both,9396,5023,570,295
2020-03-31,70-79,both,9295,6405,643,914
2020-03-31,80-89,both,6859,4576,71,1442
2020-03-31,90 y +,both,2034,1138,3,523
2020-03-31,Total,both,55484,25092,1833,3337
2020-03-31,0-9,female,119,35,1,1
2020-03-31,10-19,female,208,29,0,1
2020-03-31,20-29,female,1808,229,10,0
2020-03-31,30-39,female,3237,540,30,6
2020-03-31,40-49,female,4539,985,51,18
2020-03-31,50-59,female,5295,1472,109,27
2020-03-31,60-69,female,4329,2037,214,96
2020-03-31,70-79,female,3800,2446,207,261
2020-03-31,80-89,female,3148,1933,43,568
2020-03-31,90 y +,female,1199,608,0,259
2020-03-31,Total,female,27682,10314,665,1237
2020-03-31,0-9,males,115,39,3,0
2020-03-31,10-19,males,185,24,2,0
2020-03-31,20-29,males,1204,243,12,6
2020-03-31,30-39,males,2419,623,36,7
2020-03-31,40-49,males,3952,1455,97,25
2020-03-31,50-59,males,4810,2271,193,72
2020-03-31,60-69,males,5064,2985,356,202
2020-03-31,70-79,males,5494,3956,436,653
2020-03-31,80-89,males,3710,2642,41,874
2020-03-31,90 y +,males,835,530,3,264
2020-03-31,Total,males,27788,14768,1179,2103
2020-04-01,0-9,both,234,74,4,1
2020-04-01,10-19,both,398,53,2,1
2020-04-01,20-29,both,3039,477,22,6
2020-04-01,30-39,both,5686,1171,67,14
2020-04-01,40-49,both,8579,2463,158,44
2020-04-01,50-59,both,10206,3795,318,101
2020-04-01,60-69,both,9516,5078,586,301
2020-04-01,70-79,both,9442,6481,672,929
2020-04-01,80-89,both,6950,4623,75,1461
2020-04-01,90 y +,both,2063,1152,3,538
2020-04-01,Total,both,56113,25367,1907,3396
2020-04-01,0-9,female,114,33,1,1
2020-04-01,10-19,female,211,29,0,1
2020-04-01,20-29,female,1840,232,10,0
2020-04-01,30-39,female,3275,540,30,7
2020-04-01,40-49,female,4593,979,52,18
2020-04-01,50-59,female,5337,1485,115,29
2020-04-01,60-69,female,4369,2037,215,97
2020-04-01,70-79,female,3841,2466,214,265
2020-04-01,80-89,female,3240,1957,44,579
2020-04-01,90 y +,female,1230,616,0,264
2020-04-01,Total,female,28050,10374,681,1261
2020-04-01,0-9,males,120,41,3,0
2020-04-01,10-19,males,187,24,2,0
2020-04-01,20-29,males,1195,243,12,6
2020-04-01,30-39,males,2411,631,37,7
2020-04-01,40-49,males,3984,1482,106,26
2020-04-01,50-59,males,4867,2309,203,72
2020-04-01,60-69,males,5142,3038,370,204
2020-04-01,70-79,males,5599,4011,457,664
2020-04-01,80-89,males,3709,2666,44,882
2020-04-01,90 y +,males,833,536,3,274
2020-04-01,Total,males,28047,14981,1237,2135
2020-04-02,0-9,both,250,86,7,0
2020-04-02,10-19,both,434,72,3,1
2020-04-02,20-29,both,3590,546,29,6
2020-04-02,30-39,both,6853,1376,86,18
2020-04-02,40-49,both,10551,3039,215,49
2020-04-02,50-59,both,12722,4795,432,131
2020-04-02,60-69,both,11657,6511,779,373
2020-04-02,70-79,both,11368,8114,820,1176
2020-04-02,80-89,both,8857,5929,92,1879
2020-04-02,90 y +,both,2895,1563,6,728
2020-04-02,Total,both,69177,32031,2469,4361
2020-04-02,0-9,female,116,36,2,1
2020-04-02,10-19,female,223,39,1,1
2020-04-02,20-29,female,2233,270,11,1
2020-04-02,30-39,female,4028,642,30,7
2020-04-02,40-49,female,5731,1204,64,20
2020-04-02,50-59,female,6740,1876,130,43
2020-04-02,60-69,female,5330,2559,209,111
2020-04-02,70-79,female,4636,3078,222,333
2020-04-02,80-89,female,4279,2559,51,743
2020-04-02,90 y +,female,1775,848,2,389
2020-04-02,Total,female,35091,13111,722,1649
2020-04-02,0-9,males,135,50,5,0
2020-04-02,10-19,males,210,33,2,0
